id;name;status;price;increasedprice;startdate;enddate
1;Metal Advanced;Nepalese Rupee Avon tertiary;39926;6566;2020-06-21T16:08:07;2020-06-21T05:56:17
2;Hill;compressing expedite;93516;33287;2020-06-21T15:33:32;2020-06-21T07:18:33
3;Mandatory;Handcrafted Frozen Table;14629;81878;2020-06-21T19:57:33;2020-06-21T02:27:05
4;SMS Intelligent Wooden Pizza Avon;Granite;56807;7750;2020-06-21T05:25:26;2020-06-21T02:31:48
5;Ergonomic;lime protocol;86647;85753;2020-06-21T20:52:42;2020-06-21T09:53:57
6;National Garden Reverse-engineered;Refined Concrete Car proactive Investment Account;98559;67321;2020-06-21T20:48:31;2020-06-21T16:56:03
7;Cuba;Beauty;92365;91024;2020-06-21T19:12:21;2020-06-21T14:48:20
8;Gloves;4th generation;47456;72722;2020-06-21T20:23:08;2020-06-21T07:16:11
9;Response Industrial cultivate;Azerbaijanian Manat overriding auxiliary;69542;82121;2020-06-21T23:00:54;2020-06-21T08:35:53
10;Producer payment methodologies;invoice;78788;97068;2020-06-21T07:15:17;2020-06-20T23:26:38
